id,name,now_cost,position,team,news_added,expected_goals_conceded_per_90,own_goals,saves_per_90,bonus,transfers_in_event,bps,creativity_rank_type,points_per_game_rank,red_cards,penalties_saved,saves,corners_and_indirect_freekicks_order,goals_scored,creativity_rank,expected_assists_per_90,cost_change_event_fall,minutes,expected_goals_conceded,cost_change_start_fall,selected_rank_type,ep_next,now_cost_rank,event_points,value_form,starts,transfers_out_event,form_rank_type,threat_rank,influence_rank,now_cost_rank_type,form_rank,ict_index_rank_type,chance_of_playing_next_round,transfers_out,threat,ict_index_rank,in_dreamteam,web_name,direct_freekicks_order,clean_sheets,selected_by_percent,assists,expected_goal_involvements,expected_goal_involvements_per_90,creativity,ep_this,points_per_game_rank_type,points_per_game,expected_assists,yellow_cards,transfers_in,value_season,expected_goals,chance_of_playing_this_round,news,cost_change_event,form,total_points,selected_rank,penalties_missed,ict_index,goals_conceded,influence_rank_type,penalties_order,goals_conceded_per_90,cost_change_start,status,threat_rank_type,clean_sheets_per_90,expected_goals_per_90,influence,starts_per_90,dreamteam_count
1,Folarin Balogun,44,FWD,Arsenal,2023-08-31T08:55:15.272751Z,0.0,0,0.0,0,0,0,59,576,0,0,0,,0,557,0.0,0,0,0.00,1,48,0.0,531,0,0.0,0,698,55,543,568,90,539,57,0.0,55638,0.0,572,False,Balogun,,0,0.3,0,0.00,0.0,0.0,0.0,60,0.0,0.00,0,10024,0.0,0.00,0.0,Transferred to Monaco,0,0.0,0,292,0,0.0,0,56,,0.0,-1,u,57,0.0,0.0,0.0,0.0,0
2,Cédric Alves Soares,39,DEF,Arsenal,,0.0,0,0.0,0,1153,0,152,439,0,0,0,,0,413,0.0,0,0,0.00,1,96,0.5,698,0,0.0,0,833,131,386,432,219,384,155,,21410,0.0,436,False,Cédric,,0,0.4,0,0.00,0.0,0.0,-0.5,154,0.0,0.00,0,17242,0.0,0.00,,,0,0.0,0,246,0,0.0,0,156,,0.0,-1,a,137,0.0,0.0,0.0,0.0,0
3,Mohamed Elneny,44,MID,Arsenal,2023-08-11T13:00:06.079379Z,0.0,0,0.0,0,313,0,207,558,0,0,0,,0,539,0.0,0,0,0.00,1,141,0.5,496,0,0.0,0,321,188,523,550,274,516,210,100.0,10938,0.0,554,False,M.Elneny,,0,0.1,0,0.00,0.0,0.0,-0.5,211,0.0,0.00,0,6380,0.0,0.00,100.0,,0,0.0,0,438,0,0.0,0,206,,0.0,-1,a,203,0.0,0.0,0.0,0.0,0
4,Fábio Ferreira Vieira,54,MID,Arsenal,2023-09-29T10:30:07.948136Z,0.69,0,0.0,0,146,45,101,118,0,0,0,4.0,0,162,0.16,0,185,1.41,1,120,1.7,134,0,0.2,2,559,108,140,266,87,240,99,100.0,11788,58.0,216,False,Fábio Vieira,,1,0.1,3,0.73,0.36,56.5,0.7,51,3.2,0.32,0,9707,3.0,0.41,100.0,,0,1.2,16,376,0,15.9,2,111,,0.97,-1,a,83,0.49,0.2,45.6,0.97,0
5,Gabriel dos Santos Magalhães,47,DEF,Arsenal,2023-09-30T23:00:07.672676Z,0.9,0,0.0,2,34560,109,123,104,0,0,0,,0,343,0.01,0,474,4.75,3,10,5.5,334,8,1.1,5,14113,13,319,155,40,29,91,100.0,2017685,8.0,270,False,Gabriel,,3,12.4,0,0.11,0.02,9.7,4.5,36,3.4,0.04,1,335524,5.1,0.07,100.0,,0,5.0,24,32,0,11.6,3,61,,0.57,-3,a,108,0.57,0.01,97.8,0.95,0
6,Kai Havertz,71,MID,Arsenal,,0.94,0,0.0,0,1170,50,63,186,0,0,0,,1,86,0.1,0,461,4.82,4,41,3.5,29,4,0.4,5,2560,45,83,178,16,99,58,,326100,92.0,103,False,Havertz,,2,1.7,1,2.11,0.41,96.9,2.5,77,2.4,0.53,3,29152,2.7,1.58,,,0,3.0,19,137,0,27.6,4,70,,0.78,-4,a,50,0.39,0.31,87.0,0.98,0
8,Gabriel Fernando de Jesus,80,FWD,Arsenal,2023-09-30T23:30:06.990139Z,0.89,0,0.0,2,9727,45,21,161,0,0,0,,1,158,0.09,0,295,2.92,0,19,2.7,12,1,0.3,3,12585,23,52,221,4,154,21,100.0,304995,130.0,120,False,G.Jesus,,2,3.5,1,1.74,0.53,57.9,1.7,24,2.7,0.30,2,358969,2.0,1.44,100.0,,0,2.2,16,93,0,25.4,2,24,3.0,0.61,0,a,20,0.61,0.44,67.2,0.92,0
9,Jorge Luiz Frello Filho,54,MID,Arsenal,2023-08-07T15:30:05.168632Z,1.23,0,0.0,0,230,23,150,329,0,0,0,,0,284,0.06,0,146,1.99,1,102,1.5,117,2,0.2,1,386,118,702,330,72,255,163,100.0,12599,0.0,354,False,Jorginho,,1,0.2,0,0.10,0.06,18.2,0.5,155,1.2,0.10,1,4790,1.3,0.00,100.0,,0,1.0,7,333,0,3.9,2,143,,1.23,-1,a,301,0.62,0.0,21.6,0.62,0
10,Jakub Kiwior,43,DEF,Arsenal,,0.78,0,0.0,0,74,14,132,346,0,0,0,,0,358,0.03,0,91,0.79,2,165,0.5,588,0,0.0,1,179,194,278,345,154,497,128,,6039,14.0,358,False,Kiwior,,0,0.1,0,0.35,0.35,4.9,-0.5,122,1.0,0.03,0,2275,0.5,0.32,,,0,0.0,2,430,0,3.6,2,130,,1.98,-2,a,86,0.0,0.32,16.4,0.99,0
11,Marcus Oliveira Alencar,45,MID,Arsenal,2023-08-14T03:57:12.475590Z,0.0,0,0.0,0,0,0,247,635,0,0,0,,0,626,0.0,0,0,0.00,0,173,0.0,432,0,0.0,0,85,230,617,629,242,604,250,0.0,11014,0.0,634,False,Marquinhos,,0,0.1,0,0.00,0.0,0.0,0.0,250,0.0,0.00,0,819,0.0,0.00,0.0,Season long loan to FC Nantes,0,0.0,0,502,0,0.0,0,246,,0.0,0,u,246,0.0,0.0,0.0,0.0,0
12,Gabriel Martinelli Silva,77,MID,Arsenal,2023-09-17T20:30:06.235303Z,0.7,0,0.0,0,26562,86,62,81,0,0,0,2.0,1,85,0.12,0,401,3.13,3,24,2.3,17,6,0.2,5,8444,90,40,148,10,198,41,100.0,1270992,155.0,67,False,Martinelli,3.0,1,4.1,2,1.41,0.31,97.5,0.7,36,3.7,0.55,0,275124,2.9,0.86,50.0,,0,1.8,22,83,0,35.3,4,56,4.0,0.9,-3,a,25,0.22,0.19,101.0,1.12,0
13,Eddie Nketiah,55,FWD,Arsenal,,0.7,0,0.0,2,8860,82,14,76,0,0,0,,2,122,0.04,0,567,4.42,0,14,3.0,106,2,0.5,7,17012,17,32,199,31,123,17,,512986,172.0,83,False,Nketiah,,5,5.2,2,2.25,0.35,73.7,2.0,12,3.8,0.28,1,616378,5.5,1.97,,,0,2.5,30,76,0,31.3,4,20,,0.63,0,a,14,0.79,0.31,75.6,1.11,0
14,Martin Ødegaard,85,MID,Arsenal,,0.79,0,0.0,6,51085,153,17,17,0,0,0,3.0,3,22,0.13,0,712,6.27,0,6,6.5,8,3,0.7,8,30496,6,25,27,6,16,14,,1012352,197.0,18,False,Ødegaard,1.0,4,23.2,2,3.66,0.46,209.4,5.5,9,5.8,1.05,1,925766,5.4,2.61,,,0,6.0,46,14,0,61.6,5,9,2.0,0.63,0,a,14,0.51,0.33,210.4,1.01,1
15,Thomas Partey,48,MID,Arsenal,2023-10-02T20:00:07.692080Z,0.91,0,0.0,0,296,58,97,252,0,0,0,,0,151,0.08,0,250,2.53,2,98,0.7,300,1,0.0,3,245,164,274,240,198,363,116,100.0,32155,15.0,258,False,Thomas,,1,0.2,0,0.28,0.11,60.0,-0.3,114,1.8,0.21,0,7778,1.5,0.07,100.0,,0,0.2,7,327,0,13.1,2,97,,0.72,-2,a,142,0.36,0.03,55.8,1.08,0
16,Nicolas Pépé,49,MID,Arsenal,2023-09-11T14:13:51.462896Z,0.0,0,0.0,0,0,0,280,678,0,0,0,,0,675,0.0,0,0,0.00,1,175,0.0,249,0,0.0,0,106,271,669,676,164,662,281,0.0,5843,0.0,678,False,Pepe,,0,0.0,0,0.00,0.0,0.0,0.0,280,0.0,0.00,0,667,0.0,0.00,0.0,Permanent move to Trabzonspor,0,0.0,0,504,0,0.0,0,280,,0.0,-1,u,278,0.0,0.0,0.0,0.0,0
17,Aaron Ramsdale,48,GKP,Arsenal,,0.93,0,1.25,0,2133,55,80,151,0,0,5,,0,662,0.0,1,360,3.73,2,8,0.5,313,0,0.0,4,45692,84,655,252,11,647,22,,973452,0.0,337,False,Ramsdale,,1,10.3,0,0.01,0.0,0.0,-0.5,16,2.8,0.01,0,204992,2.3,0.00,,,-1,0.0,11,39,0,5.1,4,22,,1.0,-2,a,78,0.25,0.0,51.0,1.0,0
18,Rúnar Alex Rúnarsson,40,GKP,Arsenal,2023-08-20T06:33:02.960208Z,0.0,0,0.0,0,0,0,31,471,0,0,0,,0,448,0.0,0,0,0.00,0,57,0.0,616,0,0.0,0,179,46,422,464,46,419,47,0.0,8622,0.0,469,False,Rúnarsson,,0,0.1,0,0.00,0.0,0.0,0.0,47,0.0,0.00,0,990,0.0,0.00,0.0,Season long loan to Cardiff City,0,0.0,0,399,0,0.0,0,47,,0.0,0,u,26,0.0,0.0,0.0,0.0,0
19,Bukayo Saka,86,MID,Arsenal,2023-10-03T22:30:07.474324Z,0.86,0,0.0,8,26153,195,4,1,0,0,0,1.0,4,6,0.36,0,613,5.87,-1,1,5.6,7,0,0.8,7,178761,2,7,8,5,6,3,75.0,2334043,290.0,4,True,Saka,,3,49.5,3,6.44,0.94,294.5,4.9,1,7.6,2.46,1,1379486,6.2,3.98,75.0,Hamstring injury - 75% chance of playing,0,7.0,53,2,0,85.3,6,3,1.0,0.88,1,d,5,0.44,0.58,269.2,1.03,2
20,William Saliba,52,DEF,Arsenal,2023-10-09T08:30:07.861646Z,0.85,0,0.0,3,34876,171,61,46,0,0,0,,0,218,0.01,0,720,6.77,-2,4,4.1,160,7,1.0,8,48736,14,313,58,14,30,43,75.0,904363,9.0,153,False,Saliba,,4,25.9,1,0.15,0.01,35.8,4.5,13,4.5,0.11,0,1431234,6.9,0.04,100.0,Toe Injury - 75% chance of playing,0,5.0,36,13,0,21.3,6,19,,0.75,2,d,103,0.5,0.0,167.2,1.0,0
22,Emile Smith Rowe,53,MID,Arsenal,,0.72,0,0.0,0,154,4,190,400,0,0,0,,0,385,0.09,0,10,0.08,2,122,1.0,148,0,0.1,0,341,155,196,385,96,333,159,,12028,36.0,345,False,Smith Rowe,,0,0.1,0,0.47,4.23,1.5,0.0,189,1.0,0.01,0,3601,0.4,0.46,,,0,0.5,2,382,0,4.6,0,174,,0.0,-2,a,107,0.0,4.14,8.4,0.0,0
24,Kieran Tierney,44,DEF,Arsenal,2023-08-29T07:46:59.686803Z,0.0,0,0.0,0,0,0,216,565,0,0,0,,0,545,0.0,0,0,0.00,1,147,0.0,509,0,0.0,0,242,206,529,556,117,524,217,0.0,26687,0.0,560,False,Tierney,,0,0.1,0,0.00,0.0,0.0,0.0,218,0.0,0.00,0,2665,0.0,0.00,0.0,Season long loan to Real Sociedad,0,0.0,0,384,0,0.0,0,218,,0.0,-1,u,210,0.0,0.0,0.0,0.0,0
25,Takehiro Tomiyasu,45,DEF,Arsenal,2023-08-22T00:00:07.272418Z,1.73,0,0.0,0,630,33,108,310,1,0,0,,0,321,0.06,0,166,3.20,0,114,1.3,389,1,0.2,1,609,93,309,352,76,276,129,100.0,18758,9.0,360,False,Tomiyasu,,1,0.3,0,0.14,0.08,12.6,0.3,106,1.3,0.11,0,13013,1.8,0.03,100.0,,0,0.8,8,301,0,3.5,1,135,,0.54,0,a,102,0.54,0.02,15.2,0.54,0
26,Leandro Trossard,66,MID,Arsenal,2023-10-09T08:30:07.911344Z,0.98,0,0.0,3,1410,56,70,102,0,0,0,,1,97,0.39,0,173,1.89,4,39,2.6,43,1,0.5,2,7272,44,207,225,26,98,89,75.0,465180,33.0,183,False,Trossard,,1,1.7,0,0.84,0.44,88.4,2.5,42,3.5,0.75,0,88136,2.1,0.09,100.0,Hamstring injury - 75% chance of playing,0,3.0,14,131,0,18.4,2,92,,1.04,-4,d,111,0.52,0.05,63.2,1.04,1
29,Benjamin White,56,DEF,Arsenal,,0.85,0,0.0,7,102414,189,13,18,0,0,0,,1,50,0.08,-1,720,6.77,-1,11,9.0,89,9,1.5,8,9698,2,135,42,6,4,10,,371377,60.0,59,True,White,,4,11.8,1,1.19,0.14,129.5,8.0,5,5.6,0.67,1,574977,8.0,0.52,,,1,8.5,45,34,0,37.7,6,11,,0.75,1,a,22,0.5,0.06,187.4,1.0,2
30,Granit Xhaka,60,MID,Arsenal,2023-07-11T08:41:07.159936Z,0.0,0,0.0,0,0,0,309,717,0,0,0,,0,717,0.0,0,0,0.00,0,265,0.0,61,0,0.0,0,8,306,717,717,39,710,309,0.0,1154,0.0,717,False,Xhaka,,0,0.0,0,0.00,0.0,0.0,0.0,309,0.0,0.00,0,0,0.0,0.00,0.0,Transferred to Bayer Leverkusen,0,0.0,0,659,0,0.0,0,309,,0.0,0,u,309,0.0,0.0,0.0,0.0,0
31,Oleksandr Zinchenko,49,DEF,Arsenal,,0.86,0,0.0,2,17350,124,16,85,0,0,0,,0,80,0.08,0,421,4.00,1,29,5.7,254,7,1.1,5,8551,11,182,202,30,25,40,,368281,40.0,149,False,Zinchenko,,3,5.5,0,0.64,0.14,100.9,4.7,31,3.6,0.36,0,233232,5.1,0.28,,,0,5.2,25,73,0,21.6,4,80,,0.86,-1,a,42,0.64,0.06,74.6,1.07,0
113,David Raya Martin,48,GKP,Arsenal,,0.76,0,1.25,2,27395,91,79,20,0,0,5,,0,660,0.0,0,360,3.04,2,13,6.0,298,6,1.1,4,5012,3,653,239,10,21,21,,324383,0.0,329,False,Raya,,3,3.5,0,0.00,0.0,0.0,5.0,1,5.5,0.00,0,168983,4.6,0.00,,,0,5.5,22,91,0,5.6,2,21,,0.5,-2,a,77,0.75,0.0,56.4,1.0,0
540,Declan Rice,54,MID,Arsenal,2023-09-24T22:30:08.321972Z,0.82,0,0.0,3,8482,141,69,106,0,0,0,,1,93,0.07,0,665,6.06,1,23,3.0,127,3,0.5,8,7955,51,109,55,80,120,43,100.0,374556,74.0,73,False,Rice,,4,4.4,0,1.22,0.16,91.0,2.0,45,3.4,0.55,0,162412,5.0,0.67,100.0,,0,2.5,27,81,0,33.5,5,21,,0.68,-1,a,64,0.54,0.09,169.2,1.08,1
578,Reiss Nelson,49,MID,Arsenal,2023-08-07T15:30:06.067296Z,1.36,0,0.0,0,122,14,128,390,0,0,0,,0,232,0.36,0,35,0.53,1,178,1.0,250,0,0.1,0,267,153,305,372,165,330,157,100.0,4361,10.0,338,False,Nelson,,0,0.0,0,0.16,0.41,30.6,0.0,181,1.0,0.14,0,4586,0.6,0.02,100.0,,0,0.5,3,507,0,5.1,0,165,5.0,0.0,-1,a,159,0.0,0.05,10.4,0.0,0
585,Jurriën Timber,47,DEF,Arsenal,2023-08-12T18:00:07.121160Z,0.51,0,0.0,0,43,3,137,662,0,0,0,,0,374,0.02,0,49,0.28,3,84,0.0,335,0,0.0,1,1019,226,648,410,41,637,149,0.0,469134,0.0,418,False,J.Timber,,0,0.5,0,0.01,0.02,2.4,0.0,233,0.0,0.01,1,11460,0.0,0.00,0.0,Knee injury - Unknown return date,0,0.0,0,219,0,0.6,0,150,,0.0,-3,i,231,0.0,0.0,3.6,1.84,0
646,Karl Hein,40,GKP,Arsenal,,0.0,0,0.0,0,113,0,50,518,0,0,0,,0,494,0.0,0,0,0.00,0,67,0.5,671,0,0.0,0,113,65,470,510,65,466,66,,1547,0.0,515,False,Hein,,0,0.0,0,0.00,0.0,0.0,-0.5,66,0.0,0.00,0,2587,0.0,0.00,,,0,0.0,0,510,0,0.0,0,66,,0.0,0,a,45,0.0,0.0,0.0,0.0,0
32,Alexandre Moreno Lopera,50,DEF,Aston Villa,2023-09-24T22:30:06.810510Z,0.0,0,0.0,0,88,0,234,690,0,0,0,,0,686,0.0,0,0,0.00,0,189,0.0,172,0,0.0,0,367,228,681,689,22,675,234,50.0,7529,0.0,689,False,Alex Moreno,,0,0.1,0,0.00,0.0,0.0,0.0,234,0.0,0.00,0,6703,0.0,0.00,0.0,Hamstring injury - 50% chance of playing,0,0.0,0,492,0,0.0,0,234,,0.0,0,d,233,0.0,0.0,0.0,0.0,0
34,Leon Bailey,55,MID,Aston Villa,2023-09-28T04:00:07.310756Z,2.33,0,0.0,3,2082,68,88,77,0,0,0,,2,136,0.45,0,209,5.41,0,52,1.8,107,1,0.3,2,3467,85,132,152,65,193,74,100.0,200294,61.0,139,False,Bailey,3.0,1,1.0,1,2.14,0.92,67.2,1.8,33,3.8,1.05,1,206922,4.2,1.09,100.0,,0,1.8,23,162,0,22.8,4,58,,1.72,0,a,78,0.43,0.47,99.8,0.86,1
35,Emiliano Buendía Stati,58,MID,Aston Villa,2023-08-10T11:00:05.686871Z,0.0,0,0.0,0,20,0,307,715,0,0,0,,0,715,0.0,0,0,0.00,2,186,0.0,79,0,0.0,0,54,304,715,715,48,708,307,0.0,16381,0.0,715,False,Buendia,,0,0.0,0,0.00,0.0,0.0,0.0,307,0.0,0.00,0,421,0.0,0.00,0.0,Knee injury - Expected back 10 Feb,0,0.0,0,522,0,0.0,0,307,,0.0,-2,i,307,0.0,0.0,0.0,0.0,0
36,Matty Cash,50,DEF,Aston Villa,,1.52,1,0.0,4,132732,137,47,44,0,0,0,,2,185,0.11,0,707,11.96,-5,3,3.8,189,2,0.8,8,21481,21,22,36,23,59,5,,434048,221.0,37,False,Cash,,2,31.2,1,3.95,0.51,46.5,3.8,12,4.5,0.83,2,2728973,7.2,3.12,,,0,3.8,36,11,0,46.1,11,10,,1.4,5,a,1,0.25,0.4,192.6,1.02,1
37,Calum Chambers,39,DEF,Aston Villa,,0.0,0,0.0,0,1555,0,153,443,0,0,0,,0,417,0.0,0,0,0.00,1,66,0.0,704,0,0.0,0,1595,133,390,436,222,389,156,,55914,0.0,440,False,Chambers,,0,1.0,0,0.00,0.0,0.0,0.0,155,0.0,0.00,0,23598,0.0,0.00,,,0,0.0,0,164,0,0.0,0,157,,0.0,-1,a,138,0.0,0.0,0.0,0.0,0
38,Philippe Coutinho Correia,58,MID,Aston Villa,2023-08-20T22:00:05.790965Z,2.55,0,0.0,0,0,7,185,406,0,0,0,,0,370,0.08,0,24,0.68,2,96,0.0,74,0,0.0,0,367,303,292,407,45,706,187,0.0,45567,12.0,405,False,Coutinho,,0,0.2,0,0.17,0.64,2.8,0.0,194,1.0,0.02,0,4781,0.3,0.15,0.0,Joined Al-Duhail on loan for the rest of the season,0,0.0,2,322,0,1.8,1,186,,3.75,-2,u,152,0.0,0.56,4.0,0.0,0
39,Keinan Davis,49,FWD,Aston Villa,2023-09-03T20:12:01.415986Z,0.0,0,0.0,0,0,0,83,680,0,0,0,,0,677,0.0,0,0,0.00,1,59,0.0,260,0,0.0,0,300,82,672,678,52,664,82,0.0,20518,0.0,680,False,Davis,,0,0.1,0,0.00,0.0,0.0,0.0,83,0.0,0.00,0,4950,0.0,0.00,0.0,Transferred to Udinese,0,0.0,0,363,0,0.0,0,81,,0.0,-1,u,82,0.0,0.0,0.0,0.0,0
40,Leander Dendoncker,49,MID,Aston Villa,2023-08-10T15:00:04.947940Z,8.55,0,0.0,0,77,6,198,387,0,0,0,,0,409,0.0,0,2,0.19,1,241,0.5,240,0,0.1,0,69,151,666,398,157,327,195,100.0,1863,0.0,421,False,Dendoncker,,0,0.0,0,0.00,0.0,0.1,0.5,179,1.0,0.00,0,614,0.4,0.00,100.0,,0,0.5,2,614,0,0.5,0,183,,0.0,-1,a,275,0.0,0.0,5.2,0.0,0
41,Diego Carlos Santos Silva,44,DEF,Aston Villa,2023-09-04T05:00:07.186249Z,1.31,0,0.0,0,995,40,112,319,0,0,0,,0,325,0.01,0,250,3.65,1,101,0.5,501,2,0.1,3,417,106,165,249,112,307,96,100.0,34609,45.0,276,False,Diego Carlos,,0,0.3,0,0.39,0.14,12.3,0.5,107,1.2,0.02,0,13028,1.4,0.37,100.0,,0,0.5,6,269,0,10.9,5,101,,1.8,-1,a,33,0.0,0.13,51.8,1.08,0
42,Lucas Digne,47,DEF,Aston Villa,,1.56,0,0.0,2,17684,133,4,95,0,0,0,2.0,0,14,0.13,-1,710,12.29,-2,27,3.2,327,2,0.7,8,10247,28,174,83,37,80,7,,170935,43.0,43,False,Digne,2.0,2,6.0,3,1.13,0.15,244.0,3.2,34,3.5,0.99,4,618494,6.0,0.14,,,1,3.2,28,69,0,43.6,12,28,,1.52,2,a,37,0.25,0.02,150.0,1.01,1
43,Douglas Luiz Soares de Paulo,54,MID,Aston Villa,,1.65,0,0.0,5,14339,161,33,55,0,0,0,1.0,3,48,0.12,0,669,12.24,1,28,5.5,130,2,1.0,8,11395,8,75,37,83,22,29,,179938,100.0,45,False,Douglas Luiz,1.0,2,3.6,0,3.18,0.43,133.4,5.5,24,4.2,0.89,4,269353,6.3,2.29,,,0,5.5,34,90,0,42.5,12,13,1.0,1.61,-1,a,44,0.27,0.31,192.4,1.08,1
44,Jhon Durán,50,FWD,Aston Villa,2023-08-10T15:00:04.972558Z,1.48,0,0.0,3,1042,55,44,175,0,0,0,,2,305,0.01,0,68,1.12,0,47,1.5,208,0,0.3,0,1797,31,143,211,46,218,37,100.0,21102,55.0,248,False,Duran,,0,0.3,0,0.74,0.98,14.2,1.5,27,2.5,0.01,2,37507,3.0,0.73,100.0,,0,1.5,15,282,0,13.7,0,21,,0.0,0,a,35,0.0,0.97,72.6,0.0,0
45,Kortney Hause,40,DEF,Aston Villa,,0.0,0,0.0,0,480,0,167,475,0,0,0,,0,452,0.0,0,0,0.00,0,126,0.0,620,0,0.0,0,401,147,426,468,168,423,170,,9568,0.0,473,False,Hause,,0,0.2,0,0.00,0.0,0.0,0.0,168,0.0,0.00,0,5559,0.0,0.00,,,0,0.0,0,326,0,0.0,0,170,,0.0,0,a,153,0.0,0.0,0.0,0.0,0
46,Tim Iroegbunam,44,MID,Aston Villa,2023-08-10T15:00:04.998490Z,0.0,0,0.0,0,21,0,224,592,0,0,0,,0,575,0.0,0,0,0.00,1,233,0.0,561,0,0.0,0,44,205,561,584,301,556,227,75.0,2612,0.0,588,False,Iroegbunam,,0,0.0,0,0.00,0.0,0.0,0.0,228,0.0,0.00,0,432,0.0,0.00,75.0,Lack of match fitness - 75% chance of playing,0,0.0,0,600,0,0.0,0,223,,0.0,-1,d,221,0.0,0.0,0.0,0.0,0
47,Boubacar Kamara,50,MID,Aston Villa,2023-09-30T23:00:07.886006Z,1.55,0,0.0,1,324,97,42,236,0,0,0,,0,60,0.02,0,676,11.61,0,126,1.8,196,1,0.4,8,421,81,299,176,122,189,78,100.0,9187,11.0,150,False,Kamara,,2,0.1,0,0.23,0.03,115.9,1.4,106,2.0,0.18,2,7838,3.2,0.05,75.0,,0,1.8,16,394,0,21.6,12,69,,1.6,0,a,155,0.27,0.01,88.2,1.07,0
48,Ezri Konsa Ngoyo,45,DEF,Aston Villa,,1.59,0,0.0,1,2020,138,91,164,0,0,0,,0,277,0.01,0,720,12.74,0,65,3.0,376,2,0.7,8,1787,31,197,82,66,90,48,,48064,35.0,162,False,Konsa,,2,1.0,0,0.50,0.07,19.3,3.0,55,2.6,0.06,1,36214,4.7,0.44,,,0,3.0,21,163,0,20.5,12,27,,1.5,0,a,49,0.25,0.06,150.0,1.0,0
49,Emiliano Martínez Romero,49,GKP,Aston Villa,2023-08-25T14:00:08.378829Z,1.72,0,3.0,3,15182,133,81,110,0,0,21,,0,671,0.0,0,630,12.01,1,11,3.2,232,3,0.7,7,8921,10,664,50,7,81,13,100.0,348530,0.0,199,False,Martinez,,2,6.8,0,0.00,0.0,0.0,3.2,12,3.3,0.00,2,230625,4.7,0.00,100.0,,0,3.2,23,58,0,17.5,11,12,,1.57,-1,a,79,0.29,0.0,174.2,1.0,0
50,John McGinn,55,MID,Aston Villa,,1.42,0,0.0,2,1844,103,24,119,0,0,0,4.0,1,31,0.11,0,657,10.39,0,62,2.5,98,1,0.5,8,2182,52,110,137,60,122,42,,40221,73.0,68,False,McGinn,,2,0.7,1,1.98,0.27,167.2,2.5,52,3.2,0.80,2,52441,4.7,1.18,,,0,2.5,26,197,0,34.9,10,48,,1.37,0,a,65,0.27,0.16,108.0,1.1,0
51,Tyrone Mings,42,DEF,Aston Villa,2023-08-12T21:30:06.077936Z,3.24,0,0.0,0,82,5,107,540,0,0,0,,0,317,0.48,0,30,1.08,3,51,0.0,597,0,0.0,1,4996,188,341,408,159,489,140,0.0,1011354,5.0,391,False,Mings,,0,1.8,0,0.17,0.51,13.0,0.0,208,0.0,0.16,0,8668,0.0,0.01,0.0,Knee injury - Unknown return date,0,0.0,0,129,0,2.2,2,149,,6.0,-3,i,116,0.0,0.03,3.6,3.0,0
53,Robin Olsen,40,GKP,Aston Villa,,0.73,0,1.0,0,475,12,29,216,0,0,1,,0,446,0.0,0,90,0.73,0,25,0.0,614,0,0.0,1,974,44,420,365,44,417,24,,27289,0.0,411,False,Olsen,,0,0.8,0,0.00,0.0,0.0,0.0,20,2.0,0.00,0,15811,0.5,0.00,,,0,0.0,2,185,0,1.2,1,24,,1.0,0,a,24,0.0,0.0,12.0,1.0,0
54,Jaden Philogene-Bidace,45,MID,Aston Villa,2023-09-02T08:48:12.680336Z,19.5,0,0.0,0,0,3,197,366,0,0,0,,0,401,0.0,0,3,0.65,0,152,0.0,434,0,0.0,0,165,232,371,424,244,606,197,0.0,12710,2.0,423,False,Philogene,,0,0.1,0,0.00,0.0,0.3,0.0,164,1.0,0.00,0,3755,0.2,0.00,0.0,Transferred to Hull City,0,0.0,1,454,0,0.3,1,197,,30.0,0,u,183,0.0,0.0,0.4,0.0,0
55,Jacob Ramsey,59,MID,Aston Villa,2023-10-04T15:30:08.354887Z,1.37,0,0.0,0,61,21,189,101,0,0,0,,1,384,0.08,0,48,0.73,1,136,0.9,71,0,0.3,0,1083,87,218,270,43,195,139,50.0,12304,28.0,310,False,J.Ramsey,,0,0.1,0,0.23,0.44,1.6,0.0,41,3.5,0.04,0,6980,1.2,0.19,0.0,Foot injury - 50% chance of playing,0,1.8,7,418,0,7.4,0,114,,0.0,-1,d,115,0.0,0.36,43.8,0.0,0
56,Morgan Sanson,45,MID,Aston Villa,2023-07-26T11:26:30.137805Z,0.0,0,0.0,0,0,0,230,602,0,0,0,,0,590,0.0,0,0,0.00,0,289,0.0,359,0,0.0,0,5,212,578,594,222,568,233,0.0,539,0.0,598,False,Sanson,,0,0.0,0,0.00,0.0,0.0,0.0,234,0.0,0.00,0,0,0.0,0.00,0.0,Joined OGC Nice on a season-long loan,0,0.0,0,695,0,0.0,0,229,,0.0,0,u,228,0.0,0.0,0.0,0.0,0
57,Viljami Sinisalo,40,GKP,Aston Villa,2023-07-20T08:38:58.947431Z,0.0,0,0.0,0,0,0,44,501,0,0,0,,0,478,0.0,0,0,0.00,0,84,0.0,653,0,0.0,0,4,59,453,494,59,449,60,0.0,275,0.0,499,False,Sinisalo,,0,0.0,0,0.00,0.0,0.0,0.0,60,0.0,0.00,0,0,0.0,0.00,0.0,Joined Exeter City on a season-long loan,0,0.0,0,700,0,0.0,0,60,,0.0,0,u,39,0.0,0.0,0.0,0.0,0
58,Youri Tielemans,57,MID,Aston Villa,,2.38,0,0.0,0,488,30,144,405,0,0,0,,0,267,0.09,0,144,3.81,3,70,1.0,85,1,0.2,0,1460,122,291,341,53,259,155,,74422,12.0,334,False,Tielemans,,0,0.5,0,0.22,0.14,22.5,1.0,193,1.0,0.14,0,12421,1.4,0.08,,,0,1.0,8,223,0,5.3,3,149,,1.88,-3,a,151,0.0,0.05,17.6,0.0,0
